"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
BASSEVELDE;43002;C   
BASSILLY;55039;C   
BASTOGNE;82003;    
BASTOGNE + PARTIE DE LONGCHAMPS ET SIBRET;82003;A   
BAS-WARNETON;54010;B   
BATSHEERS;73022;B   
BATTICE;63035;C   
BAUDOUR;53070;B   
BAUFFE;53046;B   
BAUGNIES;57064;F   
BAULERS;25072;B   
BAVEGEM;41063;B   
BAVIKHOVE;34013;B   
BAZEL;46013;B   
BEAUFAYS + PARTIE DE FORET ET DE TILFF;62022;B   
BEAUMONT;56005;    
BEAUMONT;56005;A   
BEAURAING;91013;    
BEAURAING;91013;A   
BEAUSAINT;83031;E   
BEAUVECHAIN;25005;    
BEAUVECHAIN;25005;A   
BEAUVOORDE;38025;H   
BEAUWELZ;56051;G   
BECLERS - THIMOUGIES;57081;F   
BEERLEGEM;45065;E   
BEERNEM;31003;    
BEERNEM;31003;A   
BEERSE;13004;    
BEERSE;13004;A   
BEERSEL;23003;    
BEERSEL;23003;A   
BEERST;32003;B   
BEERT;23064;C   
BEERVELDE;44034;D   
BEERZEL;12029;B   
BEEZ;92094;R   
BEFFE;83044;B   
BEGIJNENDIJK;24007;    
BEGIJNENDIJK*;24007;A   
BEHO*;82037;B   
BEIGEM;23025;C   
BEKEGEM;35006;C   
BEKKERZEEL;23002;F   
BEKKEVOORT;24008;    
BEKKEVOORT;24008;A   
BELGRADE;92094;H   
BELLAIRE;62015;C   
BELLECOURT;52043;E   
BELLEFONTAINE;85039;B   
BELLEGEM;34022;G   
BELLEM;44001;B   
BELLEVAUX;84010;K   
BELLEVAUX-LIGNEUVILLE;63049;C   
BELLINGEN;23064;D   
BELOEIL;51008;    
BELOEIL;51008;A   
BELSELE;46021;C   
BEN-AHIN + PARTIE DE MARCHIN;61031;B   
BENDE;83012;G   
BERBROEK;71024;D   
BERCHEM;11002;T   
BERCHEM*+ DEEL VAN KERKOVE EN WORTEGEM-PETEGEM;45060;B   
BERCHEM-SAINTE-AGATHE;21003;    
BERCHEM-SAINTE-AGATHE;21003;A   
BERG;23038;D   
BERG;73083;F   
BERINGEN;71004;    
BERINGEN;71004;A   
BERLAAR;12002;    
BERLAAR;12002;A   
BERLARE;42003;    
BERLARE;42003;A   
BERLINGEN;73098;C   
BERLOZ;64008;    
BERLOZ;64008;A   
BERNEAU;62027;D   
BERNISSART;51009;    
BERNISSART;51009;A   
BERSILLIES - L'ABBAYE;56022;E   
BERTEM;24009;    
BERTEM;24009;A   
BERTOGNE;82005;    
BERTOGNE;82005;A   
BERTREE;64034;C   
BERTRIX;84009;    
BERTRIX + PARTIE D'OFFAGNE;84009;A   
BERZEE;93088;G   
BESELARE;33037;C   
BETEKOM*;24007;B   
BETTINCOURT;64074;G   
BEUZET;92142;C   
BEVEL;12026;B   
BEVER;23009;    
BEVER;23009;A   
BEVERCE;63049;B   
BEVEREN;38002;G   
BEVEREN;46003;    
BEVEREN;46003;A   
BEVEREN-LEIE;34040;B   
BEVERLO;71004;D   
BEVERST;73006;B   
BEYNE-HEUSAY;62015;    
