name,zipCode,nisCode,province
Beaufays,4052,62022,Luik
Beaumont,6500,56005,Henegouwen
Beauraing,5570,91013,Namen
Beausaint,6980,83031,Luxemburg
Beauvechain,1320,25005,Waals-Brabant
Beauwelz,6594,56051,Henegouwen
Beclers,7532,57081,Henegouwen
Beek,3960,72004,Limburg
Beerlegem,9630,45065,Oost-Vlaanderen
Beernem,8730,31003,West-Vlaanderen
Beerse,2340,13004,Antwerpen
Beersel,1650,23003,Vlaams-Brabant
Beerst,8600,32003,West-Vlaanderen
Beert,1673,23064,Vlaams-Brabant
Beervelde,9080,44034,Oost-Vlaanderen
Beerzel,2580,12029,Antwerpen
Beez,5000,92094,Namen
Beffe,6987,83044,Luxemburg
Begijnendijk,3130,24007,Vlaams-Brabant
Beho,6672,82037,Luxemburg
Beigem,1852,23025,Vlaams-Brabant
Bekegem,8480,35006,West-Vlaanderen
Bekkerzeel,1730,23002,Vlaams-Brabant
Bekkevoort,3460,24008,Vlaams-Brabant
Belgrade,5001,92094,Namen
Bellaire,4610,62015,Luik
Bellecourt,7170,52043,Henegouwen
Bellefontaine,5555,85039,Namen
Bellefontaine,6730,85039,Luxemburg
Bellegem,8510,34022,West-Vlaanderen
Bellem,9881,44001,Oost-Vlaanderen
Bellevaux,6834,84010,Luxemburg
Bellevaux-Ligneuville,4960,63049,Luik
Bellingen,1674,23064,Vlaams-Brabant
Beloeil,7970,51008,Henegouwen
Belsele,9111,46021,Oost-Vlaanderen
Ben-Ahin,4500,61031,Luik
Bende,6941,83012,Luxemburg
Berbroek,3540,71024,Limburg
Berchem,2600,11002,Antwerpen
Berchem,9690,11002,Oost-Vlaanderen
Berendrecht,2040,11002,Antwerpen
Berg,1910,73083,Vlaams-Brabant
Berg,3700,73083,Limburg
Bergilers,4360,64056,Luik
Beringen,3580,71004,Limburg
Berlaar,2590,12002,Antwerpen
Berlare,9290,42003,Oost-Vlaanderen
Berlingen,3830,73098,Limburg
Berloz,4257,64008,Luik
Berneau,4607,62027,Luik
Bernissart,7320,51009,Henegouwen
Bersillies-L'Abbaye,6560,56022,Henegouwen
Bertem,3060,24009,Vlaams-Brabant
Bertogne,6687,82005,Luxemburg
Bertrix,6880,84009,Luxemburg
Bertrée,4280,64034,Luik
Berzée,5651,93088,Namen
Beselare,8980,33037,West-Vlaanderen
Betekom,3130,24007,Vlaams-Brabant
Bettincourt,4300,64074,Luik
Beuzet,5030,92142,Namen
Bevel,2560,12026,Antwerpen
Bever,1547,23009,Vlaams-Brabant
Bevercé,4960,63049,Luik
Bevere,9700,45035,Oost-Vlaanderen
Beveren,8791,46003,West-Vlaanderen
Beveren,8800,46003,West-Vlaanderen
Beveren-Aan-De-Ijzer,8691,38002,West-Vlaanderen
Beveren-waas,9120,46003,Oost-Vlaanderen
Beverlo,3581,71004,Limburg
Beverst,3740,73006,Limburg
Beyne-heusay,4610,62015,Luik
Bienne-Lez-Happart,6543,56044,Henegouwen
Bierbeek,3360,24011,Vlaams-Brabant
Biercée,6533,56078,Henegouwen
Bierges,1301,25112,Waals-Brabant
Bierghes,1430,25123,Waals-Brabant
Bierset,4460,62118,Luik
Bierwart,5380,92138,Namen
Biesme,5640,92087,Namen
Biesme-Sous-Thuin,6531,56078,Henegouwen
Biesmerée,5640,92087,Namen
Biez,1390,25037,Waals-Brabant
Bihain,6690,82032,Luxemburg
Bikschote,8920,33040,West-Vlaanderen
Bilstain,4831,63046,Luik
Bilzen,3740,73006,Limburg
Binche,7130,56011,Henegouwen
Binderveld,3850,71045,Limburg
Binkom,3211,24066,Vlaams-Brabant
Bioul,5537,91005,Namen
Bissegem,8501,34022,West-Vlaanderen
Bizet,7783,54010,Henegouwen
Bièvre,5555,85039,Namen
Blaasveld,2830,12040,Antwerpen
Blaimont,5542,91142,Namen
Blandain,7522,57081,Henegouwen
Blanden,3052,24086,Vlaams-Brabant
Blankenberge,8370,31004,West-Vlaanderen
Blaregnies,7040,53084,Henegouwen
Blaton,7321,51009,Henegouwen
Blaugies,7370,53020,Henegouwen
Blehen,4280,64034,Luik
Bleid,6760,85045,Luxemburg
Bleret,4300,64074,Luik
Blicquy,7903,57094,Henegouwen
Blégny,4670,62119,Luik
Bléharies,7620,57093,Henegouwen
